,CustomerName,Recency,Frequency,Monetary,R_rank_norm,F_rank_norm,M_rank_norm,RFM_Score,Customer_segment
1852,CS2964,417,21,1363,15.08,70.65,70.65,3.12,Medium Value Customer
1853,CS2965,361,13,793,29.1,17.32,17.32,0.95,Lost Customers
1854,CS2966,451,18,1143,9.88,49.21,49.21,2.17,Low Value Customers
1855,CS2967,262,21,1425,70.93,70.65,70.65,3.53,Medium Value Customer
1856,CS2968,314,24,1649,45.49,86.57,86.57,4.02,High value Customer
1857,CS2969,153,18,1314,83.11,49.21,49.21,2.71,Low Value Customers
1858,CS2970,153,21,1496,83.11,70.65,70.65,3.63,Medium Value Customer
1859,CS2971,450,16,1029,9.97,34.8,34.8,1.55,Lost Customers
1860,CS2972,367,19,1301,27.16,56.47,56.47,2.6,Low Value Customers
1861,CS2973,389,19,1317,20.74,56.47,56.47,2.56,Low Value Customers
1862,CS2974,343,19,1368,36.05,56.47,56.47,2.67,Low Value Customers
1863,CS2975,316,22,1387,44.33,76.89,76.89,3.6,Medium Value Customer
1864,CS2976,367,14,897,27.16,22.55,22.55,1.16,Lost Customers
1865,CS2977,183,21,1490,79.38,70.65,70.65,3.6,Medium Value Customer
1866,CS2978,381,20,1470,22.75,63.59,63.59,2.87,Low Value Customers
1867,CS2979,264,20,1398,69.16,63.59,63.59,3.22,Medium Value Customer
1868,CS2980,362,21,1562,28.72,70.65,70.65,3.22,Medium Value Customer
1869,CS2981,370,18,1369,26.03,49.21,49.21,2.29,Low Value Customers
1870,CS2982,344,22,1543,35.56,76.89,76.89,3.53,Medium Value Customer
1871,CS2983,214,23,1524,76.33,82.07,82.07,4.06,High value Customer
1872,CS2984,313,29,1955,46.06,98.05,98.05,4.51,Top Customers
1873,CS2985,397,16,1133,18.78,34.8,34.8,1.62,Low Value Customers
1874,CS2986,342,25,1720,36.52,90.27,90.27,4.11,High value Customer
1875,CS2987,350,20,1508,32.9,63.59,63.59,2.95,Low Value Customers
1876,CS2988,280,22,1543,63.11,76.89,76.89,3.74,Medium Value Customer
1877,CS2989,153,26,1702,83.11,93.1,93.1,4.58,Top Customers
1878,CS2990,356,27,1765,30.75,95.23,95.23,4.28,High value Customer
1879,CS2991,91,22,1568,89.72,76.89,76.89,3.94,Medium Value Customer
1880,CS2992,431,16,1031,12.54,34.8,34.8,1.57,Lost Customers
1881,CS2993,305,16,1190,51.16,34.8,34.8,1.86,Low Value Customers
1882,CS2994,304,22,1470,51.83,76.89,76.89,3.66,Medium Value Customer
1883,CS2995,215,14,794,75.29,22.55,22.55,1.52,Lost Customers
1884,CS2996,370,25,1719,26.03,90.27,90.27,4.03,High value Customer
1885,CS2997,371,21,1503,25.71,70.65,70.65,3.2,Medium Value Customer
1886,CS2998,62,21,1456,91.86,70.65,70.65,3.69,Medium Value Customer
1887,CS2999,411,19,1262,16.34,56.47,56.47,2.52,Low Value Customers
1888,CS3000,122,20,1379,86.16,63.59,63.59,3.35,Medium Value Customer
1889,CS3001,456,15,1193,9.42,28.31,28.31,1.27,Lost Customers
1890,CS3002,335,22,1394,39.69,76.89,76.89,3.57,Medium Value Customer
1891,CS3003,288,17,1213,56.91,41.88,41.88,2.21,Low Value Customers
1892,CS3004,263,24,1939,70.02,86.57,86.57,4.2,High value Customer
1893,CS3005,32,23,1740,94.33,82.07,82.07,4.2,High value Customer
1894,CS3006,275,24,1732,67.38,86.57,86.57,4.18,High value Customer
1895,CS3007,545,16,1127,3.11,34.8,34.8,1.5,Lost Customers
1896,CS3008,293,24,1788,53.28,86.57,86.57,4.08,High value Customer
1897,CS3009,91,14,895,89.72,22.55,22.55,1.63,Low Value Customers
1898,CS3010,262,26,1862,70.93,93.1,93.1,4.49,High value Customer
1899,CS3011,354,28,1890,31.53,96.85,96.85,4.35,High value Customer
1900,CS3012,276,24,1688,66.37,86.57,86.57,4.18,High value Customer
1901,CS3013,91,35,2259,89.72,99.93,99.93,4.92,Top Customers
1902,CS3014,342,23,1641,36.52,82.07,82.07,3.76,Medium Value Customer
1903,CS3015,244,24,1601,73.42,86.57,86.57,4.23,High value Customer
1904,CS3016,365,9,634,27.81,3.46,3.46,0.36,Lost Customers
1905,CS3017,520,19,1424,4.08,56.47,56.47,2.43,Low Value Customers
1906,CS3018,562,19,1190,2.55,56.47,56.47,2.42,Low Value Customers
1907,CS3019,335,23,1593,39.69,82.07,82.07,3.79,Medium Value Customer
1908,CS3020,92,23,1486,88.44,82.07,82.07,4.15,High value Customer
1909,CS3021,305,13,871,51.16,17.32,17.32,1.12,Lost Customers
1910,CS3022,320,21,1469,42.39,70.65,70.65,3.32,Medium Value Customer
1911,CS3023,246,19,1242,71.8,56.47,56.47,2.94,Low Value Customers
1912,CS3024,431,24,1738,12.54,86.57,86.57,3.77,Medium Value Customer
1913,CS3025,340,13,960,37.31,17.32,17.32,1.02,Lost Customers
1914,CS3026,62,21,1409,91.86,70.65,70.65,3.69,Medium Value Customer
1915,CS3027,92,19,1345,88.44,56.47,56.47,3.06,Medium Value Customer
1916,CS3028,155,31,2214,80.68,99.41,99.41,4.83,Top Customers
1917,CS3029,277,24,1705,65.58,86.57,86.57,4.17,High value Customer
1918,CS3030,306,23,1579,50.43,82.07,82.07,3.87,Medium Value Customer
1919,CS3031,287,20,1407,57.68,63.59,63.59,3.14,Medium Value Customer
1920,CS3032,214,17,1305,76.33,41.88,41.88,2.35,Low Value Customers
1921,CS3033,448,14,981,10.27,22.55,22.55,1.04,Lost Customers
1922,CS3034,346,22,1555,34.79,76.89,76.89,3.53,Medium Value Customer
1923,CS3035,387,20,1365,21.25,63.59,63.59,2.86,Low Value Customers
1924,CS3036,290,23,1587,55.4,82.07,82.07,3.9,Medium Value Customer
1925,CS3037,216,21,1324,74.35,70.65,70.65,3.56,Medium Value Customer
1926,CS3038,184,17,1283,78.25,41.88,41.88,2.37,Low Value Customers
1927,CS3039,286,17,1296,58.52,41.88,41.88,2.22,Low Value Customers
1928,CS3040,282,17,1266,61.61,41.88,41.88,2.24,Low Value Customers
1929,CS3041,30,22,1397,96.56,76.89,76.89,3.99,Medium Value Customer
1930,CS3042,62,14,936,91.86,22.55,22.55,1.65,Low Value Customers
1931,CS3043,376,17,1154,24.07,41.88,41.88,1.96,Low Value Customers
1932,CS3044,0,22,1576,100.0,76.89,76.89,4.02,High value Customer
1933,CS3045,93,18,1351,87.23,49.21,49.21,2.75,Low Value Customers
1934,CS3046,324,22,1631,40.71,76.89,76.89,3.57,Medium Value Customer
1935,CS3047,155,25,1729,80.68,90.27,90.27,4.44,High value Customer
1936,CS3048,308,11,693,49.05,8.74,8.74,0.74,Lost Customers
1937,CS3049,303,21,1333,52.49,70.65,70.65,3.4,Medium Value Customer
1938,CS3050,429,20,1206,12.91,63.59,63.59,2.8,Low Value Customers
1939,CS3051,375,19,1375,24.43,56.47,56.47,2.58,Low Value Customers
1940,CS3052,245,26,1811,72.57,93.1,93.1,4.5,High value Customer
1941,CS3053,323,15,1311,41.17,28.31,28.31,1.51,Lost Customers
1942,CS3054,283,14,1028,60.8,22.55,22.55,1.41,Lost Customers
1943,CS3055,323,21,1542,41.17,70.65,70.65,3.31,Medium Value Customer
1944,CS3056,418,17,1169,14.84,41.88,41.88,1.89,Low Value Customers
